player_id,x_bin,y_bin,point_count,standard_event_points,freeze_frame_points,density
2988,3,7,1,0,1,0.0013458950201884253
2988,4,0,8,1,7,0.010767160161507403
2988,4,1,12,6,6,0.016150740242261104
2988,4,2,9,0,9,0.012113055181695828
2988,4,3,7,4,3,0.009421265141318977
2988,4,4,7,3,4,0.009421265141318977
2988,4,5,3,2,1,0.004037685060565276
2988,4,6,7,0,7,0.009421265141318977
2988,4,7,1,0,1,0.0013458950201884253
2988,5,0,6,3,3,0.008075370121130552
2988,5,1,13,4,9,0.017496635262449527
2988,5,2,29,9,20,0.039030955585464336
2988,5,3,11,1,10,0.014804845222072678
2988,5,4,3,0,3,0.004037685060565276
2988,5,5,7,3,4,0.009421265141318977
2988,5,6,1,0,1,0.0013458950201884253
2988,5,7,2,0,2,0.0026917900403768506
2988,6,0,6,3,3,0.008075370121130552
2988,6,1,29,11,18,0.039030955585464336
2988,6,2,19,4,15,0.02557200538358008
2988,6,3,10,3,7,0.013458950201884253
2988,6,4,10,3,7,0.013458950201884253
2988,6,5,6,1,5,0.008075370121130552
2988,6,6,3,0,3,0.004037685060565276
2988,6,7,3,1,2,0.004037685060565276
2988,7,0,20,9,11,0.026917900403768506
2988,7,1,36,8,28,0.04845222072678331
2988,7,2,27,7,20,0.03633916554508748
2988,7,3,12,2,10,0.016150740242261104
2988,7,4,4,0,4,0.005383580080753701
2988,7,5,13,5,8,0.017496635262449527
2988,7,6,7,1,6,0.009421265141318977
2988,7,7,1,0,1,0.0013458950201884253
2988,8,0,20,9,11,0.026917900403768506
2988,8,1,56,16,40,0.07537012113055182
2988,8,2,21,5,16,0.02826379542395693
2988,8,3,6,2,4,0.008075370121130552
2988,8,4,7,3,4,0.009421265141318977
2988,8,5,17,5,12,0.02288021534320323
2988,8,6,10,3,7,0.013458950201884253
2988,8,7,1,0,1,0.0013458950201884253
2988,9,0,7,2,5,0.009421265141318977
2988,9,1,23,7,16,0.03095558546433378
2988,9,2,16,7,9,0.021534320323014805
2988,9,3,8,3,5,0.010767160161507403
2988,9,4,10,2,8,0.013458950201884253
2988,9,5,1,0,1,0.0013458950201884253
2988,9,6,12,2,10,0.016150740242261104
2988,9,7,1,1,0,0.0013458950201884253
2988,10,0,5,3,2,0.006729475100942127
2988,10,1,7,3,4,0.009421265141318977
2988,10,2,25,5,20,0.033647375504710635
2988,10,3,13,3,10,0.017496635262449527
2988,10,4,4,1,3,0.005383580080753701
2988,10,5,7,3,4,0.009421265141318977
2988,10,6,4,0,4,0.005383580080753701
2988,11,0,12,4,8,0.016150740242261104
2988,11,2,4,3,1,0.005383580080753701
2988,11,3,15,9,6,0.020188425302826378
2988,11,4,3,3,0,0.004037685060565276
2988,11,5,4,2,2,0.005383580080753701
2988,11,6,1,1,0,0.0013458950201884253
2988,11,7,2,1,1,0.0026917900403768506
2995,0,1,1,0,1,0.0011173184357541898
2995,0,2,1,0,1,0.0011173184357541898
2995,0,5,1,0,1,0.0011173184357541898
2995,0,7,1,1,0,0.0011173184357541898
2995,1,0,1,0,1,0.0011173184357541898
2995,1,1,2,0,2,0.0022346368715083797
2995,1,2,1,0,1,0.0011173184357541898
2995,1,3,1,0,1,0.0011173184357541898
2995,1,5,6,1,5,0.0067039106145251395
2995,1,6,3,1,2,0.0033519553072625698
2995,1,7,2,0,2,0.0022346368715083797
2995,2,0,1,0,1,0.0011173184357541898
2995,2,1,3,1,2,0.0033519553072625698
2995,2,2,1,0,1,0.0011173184357541898
2995,2,4,6,2,4,0.0067039106145251395
2995,2,5,8,4,4,0.008938547486033519
2995,2,6,3,1,2,0.0033519553072625698
2995,2,7,1,1,0,0.0011173184357541898
2995,3,0,3,2,1,0.0033519553072625698
2995,3,1,3,1,2,0.0033519553072625698
2995,3,2,1,0,1,0.0011173184357541898
2995,3,3,1,0,1,0.0011173184357541898
2995,3,4,2,1,1,0.0022346368715083797
2995,3,5,1,1,0,0.0011173184357541898
2995,3,6,9,3,6,0.01005586592178771
2995,3,7,10,3,7,0.0111731843575419
2995,4,0,16,4,12,0.017877094972067038
2995,4,1,1,1,0,0.0011173184357541898
2995,4,2,2,0,2,0.0022346368715083797
2995,4,4,1,0,1,0.0011173184357541898
2995,4,5,4,2,2,0.004469273743016759
2995,4,6,6,3,3,0.0067039106145251395
2995,4,7,21,5,16,0.02346368715083799
2995,5,0,13,4,9,0.01452513966480447
2995,5,1,5,4,1,0.00558659217877095
2995,5,2,3,0,3,0.0033519553072625698
